Date_2,Date,GDP
2019Q1,01/01/2019,1.2
2018Q4,01/10/2018,1.2
2018Q3,01/07/2018,1.7
2018Q2,01/04/2018,2.2
2018Q1,01/01/2018,2.5
2017Q4,01/10/2017,2.8
2017Q3,01/07/2017,2.8
2017Q2,01/04/2017,2.5
2017Q1,01/01/2017,2.1
2016Q4,01/10/2016,2.1
2016Q3,01/07/2016,1.7
2016Q2,01/04/2016,1.8
2016Q1,01/01/2016,1.9
2015Q4,01/10/2015,2
2015Q3,01/07/2015,2.1
2015Q2,01/04/2015,2
2015Q1,01/01/2015,1.8
2014Q4,01/10/2014,1.5
2014Q3,01/07/2014,1.3
2014Q2,01/04/2014,1.2
2014Q1,01/01/2014,1.6
2013Q4,01/10/2013,0.8
2013Q3,01/07/2013,0.1
2013Q2,01/04/2013,-0.4
2013Q1,01/01/2013,-1.3
2012Q4,01/10/2012,-1.1
2012Q3,01/07/2012,-0.9
2012Q2,01/04/2012,-0.8
2012Q1,01/01/2012,-0.4
2011Q4,01/10/2011,0.5
2011Q3,01/07/2011,1.4
2011Q2,01/04/2011,1.9
2011Q1,01/01/2011,2.8
2010Q4,01/10/2010,2.4
2010Q3,01/07/2010,2.3
2010Q2,01/04/2010,2.2
2010Q1,01/01/2010,1
2009Q4,01/10/2009,-2.4
2009Q3,01/07/2009,-4.5
2009Q2,01/04/2009,-5.4
2009Q1,01/01/2009,-5.5
2008Q4,01/10/2008,-2.1
2008Q3,01/07/2008,0.1
2008Q2,01/04/2008,1.2
2008Q1,01/01/2008,2.2
2007Q4,01/10/2007,2.4
2007Q3,01/07/2007,3
2007Q2,01/04/2007,3.2
2007Q1,01/01/2007,3.6
2006Q4,01/10/2006,3.8
2006Q3,01/07/2006,3.3
2006Q2,01/04/2006,3.3
2006Q1,01/01/2006,3
2005Q4,01/10/2005,2.2
2005Q3,01/07/2005,2
2005Q2,01/04/2005,1.5
2005Q1,01/01/2005,1.4
2004Q4,01/10/2004,1.8
2004Q3,01/07/2004,2.2
2004Q2,01/04/2004,2.4
2004Q1,01/01/2004,1.9
2003Q4,01/10/2003,1.1
2003Q3,01/07/2003,0.5
2003Q2,01/04/2003,0.3
2003Q1,01/01/2003,0.8
2002Q4,01/10/2002,1.2
2002Q3,01/07/2002,1.2
2002Q2,01/04/2002,0.9
2002Q1,01/01/2002,0.6
2001Q4,01/10/2001,1.3
2001Q3,01/07/2001,1.9
2001Q2,01/04/2001,2.3
2001Q1,01/01/2001,3.1
2000Q4,01/10/2000,3.4
2000Q3,01/07/2000,3.9
2000Q2,01/04/2000,4.5
2000Q1,01/01/2000,4.2
1999Q4,01/10/1999,4
1999Q3,01/07/1999,2.9
1999Q2,01/04/1999,2.4
1999Q1,01/01/1999,2.1
1998Q4,01/10/1998,1.9
1998Q3,01/07/1998,2.7
1998Q2,01/04/1998,2.9
1998Q1,01/01/1998,3.8
1997Q4,01/10/1997,3.4
1997Q3,01/07/1997,2.7
1997Q2,01/04/1997,2.6
1997Q1,01/01/1997,2
1996Q4,01/10/1996,1.9
1996Q3,01/07/1996,1.8
1996Q2,01/04/1996,1.4
1996Q1,01/01/1996,1.3
