Month,Inflation,Month_xts
Jun-19,1.3,01/06/2019
May-19,1.2,01/05/2019
Apr-19,1.7,01/04/2019
Mar-19,1.4,01/03/2019
Feb-19,1.5,01/02/2019
Jan-19,1.4,01/01/2019
Dec-18,1.5,01/12/2018
Nov-18,1.9,01/11/2018
Oct-18,2.3,01/10/2018
Sep-18,2.1,01/09/2018
Aug-18,2.1,01/08/2018
Jul-18,2.2,01/07/2018
Jun-18,2,01/06/2018
May-18,2,01/05/2018
Apr-18,1.2,01/04/2018
Mar-18,1.4,01/03/2018
Feb-18,1.1,01/02/2018
Jan-18,1.3,01/01/2018
Dec-17,1.3,01/12/2017
Nov-17,1.5,01/11/2017
Oct-17,1.4,01/10/2017
Sep-17,1.6,01/09/2017
Aug-17,1.5,01/08/2017
Jul-17,1.3,01/07/2017
Jun-17,1.3,01/06/2017
May-17,1.4,01/05/2017
Apr-17,1.9,01/04/2017
Mar-17,1.5,01/03/2017
Feb-17,2,01/02/2017
Jan-17,1.7,01/01/2017
Dec-16,1.1,01/12/2016
Nov-16,0.6,01/11/2016
Oct-16,0.5,01/10/2016
Sep-16,0.4,01/09/2016
Aug-16,0.2,01/08/2016
Jul-16,0.2,01/07/2016
Jun-16,0,01/06/2016
May-16,-0.1,01/05/2016
Apr-16,-0.3,01/04/2016
Mar-16,0,01/03/2016
Feb-16,-0.1,01/02/2016
Jan-16,0.3,01/01/2016
Dec-15,0.3,01/12/2015
Nov-15,0.1,01/11/2015
Oct-15,0.4,01/10/2015
Sep-15,0.2,01/09/2015
Aug-15,0.4,01/08/2015
Jul-15,0.5,01/07/2015
Jun-15,0.5,01/06/2015
May-15,0.6,01/05/2015
Apr-15,0.2,01/04/2015
Mar-15,-0.1,01/03/2015
Feb-15,-0.3,01/02/2015
Jan-15,-0.6,01/01/2015
Dec-14,-0.2,01/12/2014
Nov-14,0.3,01/11/2014
Oct-14,0.4,01/10/2014
Sep-14,0.3,01/09/2014
Aug-14,0.4,01/08/2014
Jul-14,0.4,01/07/2014
Jun-14,0.5,01/06/2014
May-14,0.5,01/05/2014
Apr-14,0.7,01/04/2014
Mar-14,0.5,01/03/2014
Feb-14,0.7,01/02/2014
Jan-14,0.8,01/01/2014
Dec-13,0.8,01/12/2013
Nov-13,0.9,01/11/2013
Oct-13,0.7,01/10/2013
Sep-13,1.1,01/09/2013
Aug-13,1.3,01/08/2013
Jul-13,1.6,01/07/2013
Jun-13,1.6,01/06/2013
May-13,1.4,01/05/2013
Apr-13,1.2,01/04/2013
Mar-13,1.7,01/03/2013
Feb-13,1.9,01/02/2013
Jan-13,2,01/01/2013
Dec-12,2.2,01/12/2012
Nov-12,2.2,01/11/2012
Oct-12,2.5,01/10/2012
Sep-12,2.6,01/09/2012
Aug-12,2.6,01/08/2012
Jul-12,2.4,01/07/2012
Jun-12,2.4,01/06/2012
May-12,2.4,01/05/2012
Apr-12,2.6,01/04/2012
Mar-12,2.7,01/03/2012
Feb-12,2.7,01/02/2012
Jan-12,2.7,01/01/2012
Dec-11,2.8,01/12/2011
Nov-11,3,01/11/2011
Oct-11,3,01/10/2011
Sep-11,3,01/09/2011
Aug-11,2.5,01/08/2011
Jul-11,2.6,01/07/2011
Jun-11,2.7,01/06/2011
May-11,2.7,01/05/2011
Apr-11,2.8,01/04/2011
Mar-11,2.7,01/03/2011
Feb-11,2.4,01/02/2011
Jan-11,2.3,01/01/2011
Dec-10,2.2,01/12/2010
Nov-10,1.9,01/11/2010
Oct-10,1.9,01/10/2010
Sep-10,1.9,01/09/2010
Aug-10,1.6,01/08/2010
Jul-10,1.7,01/07/2010
Jun-10,1.5,01/06/2010
May-10,1.7,01/05/2010
Apr-10,1.6,01/04/2010
Mar-10,1.6,01/03/2010
Feb-10,0.8,01/02/2010
Jan-10,0.9,01/01/2010
Dec-09,0.9,01/12/2009
Nov-09,0.5,01/11/2009
Oct-09,-0.1,01/10/2009
Sep-09,-0.3,01/09/2009
Aug-09,-0.2,01/08/2009
Jul-09,-0.6,01/07/2009
Jun-09,-0.1,01/06/2009
May-09,0,01/05/2009
Apr-09,0.6,01/04/2009
Mar-09,0.6,01/03/2009
Feb-09,1.2,01/02/2009
Jan-09,1.1,01/01/2009
Dec-08,1.6,01/12/2008
Nov-08,2.1,01/11/2008
Oct-08,3.2,01/10/2008
Sep-08,3.6,01/09/2008
Aug-08,3.8,01/08/2008
Jul-08,4.1,01/07/2008
Jun-08,3.9,01/06/2008
May-08,3.7,01/05/2008
Apr-08,3.3,01/04/2008
Mar-08,3.6,01/03/2008
Feb-08,3.3,01/02/2008
Jan-08,3.2,01/01/2008
Dec-07,3.1,01/12/2007
Nov-07,3.1,01/11/2007
Oct-07,2.5,01/10/2007
Sep-07,2.1,01/09/2007
Aug-07,1.7,01/08/2007
Jul-07,1.8,01/07/2007
Jun-07,1.9,01/06/2007
May-07,1.9,01/05/2007
Apr-07,1.9,01/04/2007
Mar-07,1.9,01/03/2007
Feb-07,1.8,01/02/2007
Jan-07,1.8,01/01/2007
Dec-06,1.9,01/12/2006
Nov-06,1.8,01/11/2006
Oct-06,1.6,01/10/2006
Sep-06,1.8,01/09/2006
Aug-06,2.3,01/08/2006
Jul-06,2.4,01/07/2006
Jun-06,2.5,01/06/2006
May-06,2.5,01/05/2006
Apr-06,2.4,01/04/2006
Mar-06,2.2,01/03/2006
Feb-06,2.4,01/02/2006
Jan-06,2.4,01/01/2006
Dec-05,2.3,01/12/2005
Nov-05,2.3,01/11/2005
Oct-05,2.5,01/10/2005
Sep-05,2.6,01/09/2005
Aug-05,2.2,01/08/2005
Jul-05,2.1,01/07/2005
Jun-05,2,01/06/2005
May-05,2,01/05/2005
Apr-05,2.1,01/04/2005
Mar-05,2.2,01/03/2005
Feb-05,2.1,01/02/2005
Jan-05,1.9,01/01/2005
Dec-04,2.3,01/12/2004
Nov-04,2.2,01/11/2004
Oct-04,2.4,01/10/2004
Sep-04,2.1,01/09/2004
Aug-04,2.4,01/08/2004
Jul-04,2.3,01/07/2004
Jun-04,2.4,01/06/2004
May-04,2.5,01/05/2004
Apr-04,2.1,01/04/2004
Mar-04,1.7,01/03/2004
Feb-04,1.6,01/02/2004
Jan-04,1.8,01/01/2004
Dec-03,2,01/12/2003
Nov-03,2.2,01/11/2003
Oct-03,2,01/10/2003
Sep-03,2.1,01/09/2003
Aug-03,2,01/08/2003
Jul-03,1.9,01/07/2003
Jun-03,2,01/06/2003
May-03,1.8,01/05/2003
Apr-03,2.1,01/04/2003
Mar-03,2.4,01/03/2003
Feb-03,2.4,01/02/2003
Jan-03,2.1,01/01/2003
Dec-02,2.3,01/12/2002
Nov-02,2.3,01/11/2002
Oct-02,2.3,01/10/2002
Sep-02,2.1,01/09/2002
Aug-02,2.1,01/08/2002
Jul-02,2,01/07/2002
Jun-02,1.9,01/06/2002
May-02,2.1,01/05/2002
Apr-02,2.4,01/04/2002
Mar-02,2.5,01/03/2002
Feb-02,2.5,01/02/2002
Jan-02,2.6,01/01/2002
Dec-01,2.1,01/12/2001
Nov-01,2,01/11/2001
Oct-01,2.2,01/10/2001
Sep-01,2.2,01/09/2001
Aug-01,2.3,01/08/2001
Jul-01,2.5,01/07/2001
Jun-01,2.9,01/06/2001
May-01,3.1,01/05/2001
Apr-01,2.7,01/04/2001
Mar-01,2.2,01/03/2001
Feb-01,2,01/02/2001
Jan-01,2,01/01/2001
Dec-00,2.5,01/12/2000
Nov-00,2.5,01/11/2000
Oct-00,2.4,01/10/2000
Sep-00,2.4,01/09/2000
Aug-00,2,01/08/2000
Jul-00,2.1,01/07/2000
Jun-00,2.1,01/06/2000
May-00,1.8,01/05/2000
Apr-00,1.7,01/04/2000
Mar-00,2,01/03/2000
Feb-00,1.9,01/02/2000
Jan-00,1.9,01/01/2000
Dec-99,1.7,01/12/1999
Nov-99,1.5,01/11/1999
Oct-99,1.3,01/10/1999
Sep-99,1.2,01/09/1999
Aug-99,1.1,01/08/1999
Jul-99,1,01/07/1999
Jun-99,0.9,01/06/1999
May-99,0.9,01/05/1999
Apr-99,1.1,01/04/1999
Mar-99,0.9,01/03/1999
Feb-99,0.7,01/02/1999
Jan-99,0.8,01/01/1999
Dec-98,0.8,01/12/1998
Nov-98,0.8,01/11/1998
Oct-98,0.9,01/10/1998
Sep-98,1,01/09/1998
Aug-98,1.1,01/08/1998
Jul-98,1.3,01/07/1998
Jun-98,1.3,01/06/1998
May-98,1.3,01/05/1998
Apr-98,1.4,01/04/1998
Mar-98,1.1,01/03/1998
Feb-98,1.1,01/02/1998
Jan-98,1.1,01/01/1998
Dec-97,1.5,01/12/1997
Nov-97,1.6,01/11/1997
Oct-97,1.5,01/10/1997
Sep-97,1.6,01/09/1997
Aug-97,1.7,01/08/1997
Jul-97,1.5,01/07/1997
Jun-97,1.4,01/06/1997
May-97,1.4,01/05/1997
Apr-97,1.3,01/04/1997
Mar-97,1.6,01/03/1997
Feb-97,1.8,01/02/1997
Jan-97,2,01/01/1997
