Date_2,Labour Productivity,Date
2019Q1,-0.1,01/01/2019
2018Q4,-0.2,01/10/2018
2018Q3,0.3,01/07/2018
2018Q2,0.6,01/04/2018
2018Q1,0.9,01/01/2018
2017Q4,1.1,01/10/2017
2017Q3,1.2,01/07/2017
2017Q2,1,01/04/2017
2017Q1,0.6,01/01/2017
2016Q4,0.7,01/10/2016
2016Q3,0.4,01/07/2016
2016Q2,0.4,01/04/2016
2016Q1,0.5,01/01/2016
2015Q4,0.7,01/10/2015
2015Q3,1,01/07/2015
2015Q2,1.1,01/04/2015
2015Q1,0.9,01/01/2015
2014Q4,0.6,01/10/2014
2014Q3,0.5,01/07/2014
2014Q2,0.6,01/04/2014
2014Q1,1.4,01/01/2014
2013Q4,1,01/10/2013
2013Q3,0.7,01/07/2013
2013Q2,0.4,01/04/2013
2013Q1,-0.4,01/01/2013
2012Q4,-0.4,01/10/2012
2012Q3,-0.5,01/07/2012
2012Q2,-0.4,01/04/2012
2012Q1,-0.2,01/01/2012
2011Q4,0.6,01/10/2011
2011Q3,1.3,01/07/2011
2011Q2,1.5,01/04/2011
2011Q1,2.6,01/01/2011
2010Q4,2.3,01/10/2010
2010Q3,2.6,01/07/2010
2010Q2,3,01/04/2010
2010Q1,2.4,01/01/2010
2009Q4,-0.3,01/10/2009
2009Q3,-2.4,01/07/2009
2009Q2,-3.5,01/04/2009
2009Q1,-4.3,01/01/2009
2008Q4,-2,01/10/2008
2008Q3,-0.5,01/07/2008
2008Q2,0,01/04/2008
2008Q1,0.5,01/01/2008
2007Q4,0.6,01/10/2007
2007Q3,1.1,01/07/2007
2007Q2,1.3,01/04/2007
2007Q1,1.6,01/01/2007
2006Q4,1.8,01/10/2006
2006Q3,1.3,01/07/2006
2006Q2,1.5,01/04/2006
2006Q1,1.5,01/01/2006
2005Q4,1,01/10/2005
2005Q3,0.9,01/07/2005
2005Q2,0.6,01/04/2005
2005Q1,0.5,01/01/2005
2004Q4,0.9,01/10/2004
2004Q3,1.3,01/07/2004
2004Q2,1.7,01/04/2004
2004Q1,1.2,01/01/2004
2003Q4,0.5,01/10/2003
2003Q3,0.1,01/07/2003
2003Q2,0,01/04/2003
2003Q1,0.5,01/01/2003
2002Q4,0.5,01/10/2002
2002Q3,0.5,01/07/2002
2002Q2,0.1,01/04/2002
2002Q1,-0.3,01/01/2002
2001Q4,0.5,01/10/2001
2001Q3,0.9,01/07/2001
2001Q2,1,01/04/2001
2001Q1,1.3,01/01/2001
2000Q4,1.1,01/10/2000
2000Q3,1.5,01/07/2000
2000Q2,2.1,01/04/2000
2000Q1,2,01/01/2000
1999Q4,2,01/10/1999
1999Q3,1,01/07/1999
1999Q2,0.5,01/04/1999
1999Q1,0.1,01/01/1999
1998Q4,-0.2,01/10/1998
1998Q3,0.7,01/07/1998
1998Q2,1.2,01/04/1998
1998Q1,2.3,01/01/1998
1997Q4,2.2,01/10/1997
1997Q3,1.7,01/07/1997
1997Q2,1.7,01/04/1997
1997Q1,1.1,01/01/1997
1996Q4,1.2,01/10/1996
1996Q3,1.1,01/07/1996
1996Q2,0.8,01/04/1996
1996Q1,0.8,01/01/1996
